age,sexe,situation_familiale,revenu_mensuel,type_contrat_travail,anciennete_travail_mois,montant_credit,duree_mois,taux_interet,type_credit,nb_retards_30j,nb_retards_60j,nb_retards_90j,taux_endettement,ratio_dette_revenu,defaut,probabilite_defaut,prediction_defaut
56,H,celibataire,826447,CDI,63,2393787,18,4.98,immobilier,0,0,0,79.23,2.9,1,0.9963755276758269,1
46,F,celibataire,920592,Independant,72,881653,22,5.01,scolaire,2,0,0,51.37,0.96,1,0.14984594458184958,0
32,H,marie,1445119,Informel,131,4069349,30,3.35,auto,1,0,0,72.25,2.82,1,0.99257840363097,1
60,H,celibataire,891730,Informel,201,1728676,59,4.75,immobilier,1,0,0,73.52,1.94,1,0.9659994649328885,1
25,H,celibataire,311946,Independant,13,4336630,21,16.8,immobilier,0,1,0,12.61,13.9,1,0.9999999594849253,1
38,H,divorce,757551,CDD,137,189972,29,12.96,immobilier,0,0,0,5.63,0.25,0,0.0003866659846706548,0
56,H,marie,1292740,CDD,223,2049565,28,7.68,immobilier,0,0,0,37.65,1.59,0,0.13624489533958836,0
36,F,divorce,169407,Independant,217,2380193,46,14.9,auto,0,0,0,62.7,14.05,1,0.9999999999402993,1
40,F,divorce,1334905,CDD,52,1112467,38,10.33,conso,0,0,0,66.81,0.83,1,0.5571999390824622,1
28,H,marie,577165,CDD,236,945072,47,5.13,immobilier,2,0,0,64.06,1.64,1,0.9318314877911246,1
28,H,marie,917529,CDD,62,3866102,53,16.27,auto,2,0,0,38.55,4.21,1,0.9765162049818366,1
41,H,celibataire,1027783,Independant,119,3115827,23,8.08,immobilier,0,0,0,61.25,3.03,1,0.9755593302118736,1
53,F,divorce,543238,CDI,109,3684412,68,13.48,auto,1,0,0,58.91,6.78,1,0.9999625644762848,1
57,F,marie,639486,Informel,8,3195523,16,7.36,scolaire,0,0,0,28.54,5.0,1,0.9465420060953041,1
41,H,divorce,1353871,CDI,239,922231,29,10.5,conso,0,0,0,17.65,0.68,0,0.001840549435064981,0
20,H,divorce,1115702,CDD,95,265928,66,15.24,auto,0,0,0,51.61,0.24,1,0.13822318343534734,0
39,F,marie,1076196,Independant,125,3964608,69,5.35,auto,2,0,0,55.78,3.68,1,0.9852909959850107,1
19,H,celibataire,1058536,Informel,173,4943038,41,17.66,auto,1,0,0,47.6,4.67,1,0.9961457601087107,1
41,F,divorce,1130595,CDD,53,4283763,58,4.05,immobilier,1,0,1,20.99,3.79,1,0.9999472367899956,1
61,F,marie,685743,Informel,237,1892053,52,11.01,scolaire,0,0,0,25.75,2.76,0,0.24549023477497361,0
47,H,celibataire,820599,Informel,63,1403975,57,16.74,immobilier,1,0,0,58.14,1.71,1,0.7930130749659172,1
55,F,divorce,229776,CDI,95,2934821,62,17.19,scolaire,1,0,0,77.2,12.77,1,0.9999999998864033,1
19,H,marie,1277678,CDD,81,4296499,28,6.48,conso,1,0,0,75.86,3.36,1,0.9986904570790862,1
38,H,divorce,469027,Informel,239,1478495,64,5.16,immobilier,0,1,0,43.97,3.15,1,0.9302940687164232,1
50,H,marie,935877,CDI,57,186365,61,13.87,auto,0,0,0,71.49,0.2,1,0.6098583342081274,1
29,H,marie,939983,Independant,182,3745290,47,3.63,conso,0,0,0,7.21,3.98,1,0.2164155113963235,0
39,H,divorce,83420,Informel,147,932961,23,10.28,immobilier,0,0,1,69.59,11.18,1,0.9999999999998905,1
61,H,divorce,926307,CDD,67,723589,38,14.95,scolaire,0,0,0,40.71,0.78,0,0.0559169653873832,0
42,F,marie,258725,Independant,46,3693610,8,11.4,immobilier,1,0,0,63.61,14.28,1,0.9999999999556295,1
44,F,celibataire,621028,Informel,94,3798863,33,5.82,immobilier,0,1,0,5.42,6.12,1,0.8820607890591249,1
59,F,divorce,1455983,Informel,138,368862,6,10.31,auto,0,0,0,70.14,0.25,1,0.3357361553843908,1
45,F,marie,1093368,CDD,113,4050878,68,16.82,auto,2,0,0,49.62,3.7,1,0.9781366845901498,1
33,H,marie,1062063,Informel,93,4487387,52,12.26,conso,0,1,0,23.02,4.23,1,0.8323147207422655,1
32,F,celibataire,623753,CDD,232,969419,42,13.82,auto,0,1,0,31.06,1.55,0,0.11891626862385431,0
64,F,celibataire,524648,CDD,146,2154228,53,8.04,immobilier,0,0,0,20.05,4.11,1,0.5477218281253723,1
61,F,celibataire,614940,CDD,140,3538222,24,5.83,immobilier,0,0,0,36.83,5.75,1,0.9941483036593028,1
20,H,divorce,538189,CDD,49,2987502,19,6.83,scolaire,0,0,0,29.75,5.55,1,0.9904557995094552,1
54,F,marie,389815,Informel,23,1496585,70,11.0,immobilier,0,1,0,45.09,3.84,1,0.9758804342257814,1
24,H,marie,1373865,Independant,62,3454768,31,7.2,conso,1,0,0,66.11,2.51,1,0.9715830210173324,1
38,F,marie,169342,Independant,11,886960,15,11.13,conso,0,0,0,78.67,5.24,1,0.9999684752315254,1
26,H,celibataire,1409891,CDI,73,429647,48,13.62,auto,3,0,0,23.86,0.3,0,0.002143765737779084,0
56,H,marie,1345777,CDD,118,4311102,64,14.02,scolaire,0,0,0,12.99,3.2,1,0.10550091351718136,0
35,F,divorce,1388396,Informel,184,2156471,8,5.47,immobilier,0,0,0,34.68,1.55,0,0.06195910866276583,0
21,H,celibataire,1315340,Informel,88,3602138,10,14.26,auto,0,0,0,15.77,2.74,0,0.07564711037805452,0
42,H,celibataire,138541,CDI,89,462525,42,13.09,immobilier,0,0,0,67.57,3.34,1,0.9969391060569408,1
31,F,celibataire,89470,Independant,55,4993960,57,3.18,conso,3,0,0,42.58,55.82,1,1.0,1
